,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
T,0.005402760222587184,0.002029660749211814,0.0017269934333045487,0.0026647357591496204,0.0021104118759128153,0.002449106158625544,0.0018341907540421333,0.0019898636130602537,0.0020630234687023068,0.0025675022440936343,0.0017377424137293613,0.0018793416202433836,0.00219584174287654,0.0019566049916310137,0.0018612904083595869,0.001751822352192216,0.0019743158405618874,0.0018260267609216722,0.0016874553882010965,0.0016601227981436885,0.0013546909300283653
GOOGL,0.002029660749211814,0.00657693417657608,0.0020084809878809524,0.003099068593293668,0.0024543938891871766,0.0028482929130131283,0.0021331507037589325,0.0023141971232978247,0.0023992815111706913,0.002985986712026117,0.0020209819750914427,0.002185660837615114,0.002553748212304386,0.0022755175848956774,0.002164667407543152,0.0020373568426316543,0.0022961151752923167,0.0021236560382602563,0.0019624985247419283,0.0019307109183612809,0.001575495844364871
MO,0.0017269934333045487,0.0020084809878809524,0.00621170244376042,0.002636928911423705,0.002088389466572236,0.002423549432491004,0.0018150507463236163,0.001969099139774781,0.002041495563260942,0.0025407100401415835,0.001719608856389005,0.0018597304576432464,0.002172927862292049,0.0019361875761798797,0.0018418676123914497,0.0017335418689499265,0.001953713610208328,0.0018069719454826359,0.0016698465822011508,0.0016427992111066629,0.0013405545623687818
AIG,0.0026647357591496204,0.003099068593293668,0.002636928911423705,0.06421900315322987,0.003222366676842524,0.0037395155721398057,0.0028006074227769377,0.003038302746194232,0.0031500097942800905,0.0039202933647761165,0.0026533414215722116,0.0028695478264668833,0.0033528086818620066,0.0029875204914910124,0.002841985612514779,0.002674839938062067,0.0030145630086720505,0.0027881419037559326,0.002576558667840919,0.002534824810863501,0.0020684639620197768
AAPL,0.0021104118759128153,0.0024543938891871766,0.002088389466572236,0.003222366676842524,0.008172917124184125,0.0029616137534489526,0.0022180192330530325,0.0024062686801760297,0.0024947381954343807,0.0031047857731026853,0.002101387812172553,0.00227261851036521,0.002655350435993408,0.002366050255875113,0.0022507898455712437,0.0021184141624809886,0.002387467332302853,0.002208146817264331,0.002040577566810168,0.002007525273692408,0.0016381777800502382
BAC,0.002449106158625544,0.0028482929130131283,0.002423549432491004,0.0037395155721398057,0.0029616137534489526,0.016761035816588075,0.002573983128895404,0.0027924442196279277,0.002895111967636182,0.0036030644278050345,0.0024386338473509745,0.0026373448962584306,0.0030815004314205907,0.0027457712494035795,0.002612013008207739,0.002458392710478709,0.0027706254943865626,0.002562526315851191,0.0023680643305071924,0.002329707564439247,0.001901084492480512
BRK.B,0.0018341907540421333,0.0021331507037589325,0.0018150507463236163,0.0028006074227769377,0.0022180192330530325,0.002573983128895404,0.004432595356825638,0.002091324359616318,0.00216821454809257,0.0026984160880175806,0.00182634780430081,0.0019751669836362683,0.0023078050659349407,0.002056369921178571,0.001956195362221913,0.0018411456618504447,0.0020749838249433912,0.0019191336639166636,0.0017734967039692803,0.001744770458098311,0.001423764987270923
CVX,0.0019898636130602537,0.0023141971232978247,0.001969099139774781,0.003038302746194232,0.0024062686801760297,0.0027924442196279277,0.002091324359616318,0.0059834155816311995,0.0023522369333992287,0.002927438149281629,0.001981355010410869,0.00214280488645703,0.002503674885842637,0.002230899742639759,0.0021222230908886108,0.001997408803193531,0.0022510934600690913,0.00208201586340515,0.0019240182905369166,0.001892853968466001,0.0015446038725667494
CSCO,0.0020630234687023068,0.0023992815111706913,0.002041495563260942,0.0031500097942800905,0.0024947381954343807,0.002895111967636182,0.00216821454809257,0.0023522369333992287,0.006099452145050158,0.0030350691200661563,0.0020542020365014596,0.0022215878216960867,0.0025957256636048283,0.0023129215968272477,0.0022002493103493817,0.0020708460673058526,0.002333857761850631,0.0021585638132301777,0.001994757259511715,0.0019624471416742322,0.0016013931899850167
C,0.0025675022440936343,0.002985986712026117,0.0025407100401415835,0.0039202933647761165,0.0031047857731026853,0.0036030644278050345,0.0026984160880175806,0.002927438149281629,0.0030350691200661563,0.01843684830192697,0.0025565236743801054,0.002764840926043225,0.0032304680811745647,0.0028785088877355384,0.0027382844294257893,0.0025772377317281408,0.0029045646507919157,0.0026864054231888713,0.0024825426457411926,0.0024423316150315668,0.0019929878022905286
KO,0.0017377424137293613,0.0020209819750914427,0.001719608856389005,0.0026533414215722116,0.002101387812172553,0.0024386338473509745,0.00182634780430081,0.001981355010410869,0.0020542020365014596,0.0025565236743801054,0.004686553847015736,0.001871305606627099,0.0021864523833503686,0.001948238601941628,0.0018533315812339997,0.0017443316074953017,0.001965873719764527,0.0018182187201927244,0.0016802398748902696,0.0016530241582440092,0.0013488983084835099
XOM,0.0018793416202433836,0.002185660837615114,0.0018597304576432464,0.0028695478264668833,0.00227261851036521,0.0026373448962584306,0.0019751669836362683,0.00214280488645703,0.0022215878216960867,0.002764840926043225,0.001871305606627099,0.00610403892381334,0.002364614532191907,0.0021069900014329263,0.0020043495222341924,0.0018864677316798907,0.0021260621093820804,0.001966375504543577,0.0018171535113175937,0.001787720133497057,0.0014588127173396886
GE,0.00219584174287654,0.002553748212304386,0.002172927862292049,0.0033528086818620066,0.002655350435993408,0.0030815004314205907,0.0023078050659349407,0.002503674885842637,0.0025957256636048283,0.0032304680811745647,0.0021864523833503686,0.002364614532191907,0.009707204805030314,0.0024618284122131825,0.002341902238969468,0.0022041679634998267,0.0024841124558954465,0.002297533012910937,0.0021231805278963075,0.0020887902717789436,0.0017044915225997055
INTC,0.0019566049916310137,0.0022755175848956774,0.0019361875761798797,0.0029875204914910124,0.002366050255875113,0.0027457712494035795,0.002056369921178571,0.002230899742639759,0.0023129215968272477,0.0028785088877355384,0.001948238601941628,0.0021069900014329263,0.0024618284122131825,0.006420330184018703,0.0020867522104197193,0.001964024071300937,0.0022134686375943815,0.0020472170073648752,0.0018918602091850547,0.001861216768235364,0.0015187873316145628
IBM,0.0018612904083595869,0.002164667407543152,0.0018418676123914497,0.002841985612514779,0.0022507898455712437,0.002612013008207739,0.001956195362221913,0.0021222230908886108,0.0022002493103493817,0.0027382844294257893,0.0018533315812339997,0.0020043495222341924,0.002341902238969468,0.0020867522104197193,0.005255434425640816,0.0018683480729814953,0.0021056411293956965,0.001947488325920338,0.0017996996207077902,0.0017705489526052584,0.0014448007159154526
JNJ,0.001751822352192216,0.0020373568426316543,0.0017335418689499265,0.002674839938062067,0.0021184141624809886,0.002458392710478709,0.0018411456618504447,0.001997408803193531,0.0020708460673058526,0.0025772377317281408,0.0017443316074953017,0.0018864677316798907,0.0022041679634998267,0.001964024071300937,0.0018683480729814953,0.004221703542072759,0.0019818020764538393,0.0018329507123971292,0.0016938539029846397,0.0016664176728649358,0.0013598276643109579
MSFT,0.0019743158405618874,0.0022961151752923167,0.001953713610208328,0.0030145630086720505,0.002387467332302853,0.0027706254943865626,0.0020749838249433912,0.0022510934600690913,0.002333857761850631,0.0029045646507919157,0.001965873719764527,0.0021260621093820804,0.0024841124558954465,0.0022134686375943815,0.0021056411293956965,0.0019818020764538393,0.005101506389261323,0.002065748060541802,0.0019089849995778654,0.0018780641795170595,0.0015325351310443945
PFE,0.0018260267609216722,0.0021236560382602563,0.0018069719454826359,0.0027881419037559326,0.002208146817264331,0.002562526315851191,0.0019191336639166636,0.00208201586340515,0.0021585638132301777,0.0026864054231888713,0.0018182187201927244,0.001966375504543577,0.002297533012910937,0.0020472170073648752,0.001947488325920338,0.0018329507123971292,0.002065748060541802,0.0054801431371180685,0.0017656028603990528,0.001737004475206233,0.0014174278014926077
PG,0.0016874553882010965,0.0019624985247419283,0.0016698465822011508,0.002576558667840919,0.002040577566810168,0.0023680643305071924,0.0017734967039692803,0.0019240182905369166,0.001994757259511715,0.0024825426457411926,0.0016802398748902696,0.0018171535113175937,0.0021231805278963075,0.0018918602091850547,0.0017996996207077902,0.0016938539029846397,0.0019089849995778654,0.0017656028603990528,0.004952682523955159,0.001605188721076967,0.0013098637063826328
WMT,0.0016601227981436885,0.0019307109183612809,0.0016427992111066629,0.002534824810863501,0.002007525273692408,0.002329707564439247,0.001744770458098311,0.001892853968466001,0.0019624471416742322,0.0024423316150315668,0.0016530241582440092,0.001787720133497057,0.0020887902717789436,0.001861216768235364,0.0017705489526052584,0.0016664176728649358,0.0018780641795170595,0.001737004475206233,0.001605188721076967,0.005753491154769698,0.0012886471646192381
BOND20,0.0013546909300283653,0.001575495844364871,0.0013405545623687818,0.0020684639620197768,0.0016381777800502382,0.001901084492480512,0.001423764987270923,0.0015446038725667494,0.0016013931899850167,0.0019929878022905286,0.0013488983084835099,0.0014588127173396886,0.0017044915225997055,0.0015187873316145628,0.0014448007159154526,0.0013598276643109579,0.0015325351310443945,0.0014174278014926077,0.0013098637063826328,0.0012886471646192381,0.007814944734073102
