,Historical Risk-Free Rate
2002-01-31,0.0014
2002-02-28,0.0014083333333333333
2002-03-28,0.0014083333333333333
2002-04-30,0.0014666666666666667
2002-05-31,0.001475
2002-06-28,0.001475
2002-07-31,0.0014083333333333333
2002-08-30,0.0014083333333333333
2002-09-30,0.0014166666666666668
2002-10-31,0.0013333333333333333
2002-11-29,0.0013333333333333333
2002-12-31,0.0010416666666666667
2003-01-31,0.001
2003-02-28,0.0009749999999999998
2003-03-31,0.0010083333333333333
2003-04-30,0.0009666666666666666
2003-05-30,0.0009666666666666666
2003-06-30,0.0009666666666666666
2003-07-31,0.0006750000000000001
2003-08-29,0.0006750000000000001
2003-09-30,0.0008166666666666666
2003-10-31,0.000725
2003-11-28,0.000725
2003-12-31,0.0007999999999999999
2004-01-30,0.0007999999999999999
2004-02-27,0.0007500000000000001
2004-03-31,0.0007916666666666666
2004-04-30,0.0007999999999999999
2004-05-28,0.0007999999999999999
2004-06-30,0.0007833333333333333
2004-07-30,0.0007833333333333333
2004-08-31,0.0010583333333333332
2004-09-30,0.0012083333333333332
2004-10-29,0.0012083333333333332
2004-11-30,0.0014416666666666666
2004-12-31,0.001725
2005-01-31,0.001575
2005-02-28,0.0017166666666666667
2005-03-31,0.0020916666666666666
2005-04-29,0.0020916666666666666
2005-05-31,0.0022500000000000003
2005-06-30,0.002333333333333333
2005-07-29,0.002333333333333333
2005-08-31,0.0027083333333333334
2005-09-30,0.0028416666666666664
2005-10-31,0.002625
2005-11-30,0.0031416666666666663
2005-12-30,0.0031416666666666663
2006-01-31,0.0033416666666666664
2006-02-28,0.0036416666666666667
2006-03-31,0.0037249999999999996
2006-04-28,0.0037249999999999996
2006-05-31,0.003833333333333333
2006-06-30,0.003958333333333334
2006-07-31,0.0037833333333333334
2006-08-31,0.004183333333333333
2006-09-29,0.004183333333333333
2006-10-31,0.003833333333333333
2006-11-30,0.004316666666666667
2006-12-29,0.004316666666666667
2007-01-31,0.003958333333333334
2007-02-28,0.004166666666666667
2007-03-30,0.004166666666666667
2007-04-30,0.0042250000000000005
2007-05-31,0.004
2007-06-29,0.004
2007-07-31,0.003566666666666667
2007-08-31,0.004275
2007-09-28,0.004275
2007-10-31,0.002858333333333334
2007-11-30,0.0033416666666666664
2007-12-31,0.003025
