,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
T,0.005507852103517996,-0.0002864820855367524,0.0016051647749593119,0.002360624660912363,0.0014097759532128316,0.00099931487743349,0.00045837997810485186,0.001151413815588419,0.0026433046981048517,0.0028045135450062582,0.0006423121704757431,0.0015538493848278564,0.0016875622123114246,0.0027055071918841963,0.0035196981766165876,0.0004779712626306731,0.0024366166313442863,0.0013698530006071988,0.000212351431456964,0.0006644724721940526,-0.0005690868025852896
GOOGL,-0.0002864820855367524,0.014521486226387182,-0.0001498324307012814,-0.0008476109148534194,0.005027633363976071,0.0005514404715350427,0.0004854372022000004,-0.0003931664627602564,0.0010681911160025643,0.0006637390277260682,-3.519445730940183e-05,-0.0003901646282440167,0.00042834998845085476,0.0028566724314739314,0.00020047308836623978,9.837195115385753e-07,0.0024654952642602563,-0.0012228255753346166,-0.0007442766158619657,0.0008199220760807691,0.00024237243073675264
MO,0.0016051647749593119,-0.0001498324307012814,0.006527124227235523,0.00011184530509859158,0.0029712262908133807,0.0008833342203493738,0.0010327261757529346,0.0011850228779503127,0.0009630781642085293,0.0010065872697425664,0.0011350352296901408,0.0005303473780066511,0.0003214613492292644,0.0017884989747785586,0.0012953287119659626,0.00033385218533372465,-4.176224609154792e-06,0.0008253392330696398,0.00030004893680477316,-0.0007532623659428797,0.00043654613507316083
AIG,0.002360624660912363,-0.0008476109148534194,0.00011184530509859158,0.004038333096087637,0.0012147555846111107,0.0012263659728239439,0.00043499303818270743,0.0010988618694624417,0.0021687419748990617,0.0024291522624741786,0.0005345296258763695,0.0011035578270258213,0.0013810470315884199,0.0021717817990297332,0.0023583982216674503,0.0004536384934780906,0.0015448766864514867,0.000994761304170579,0.00039482484169718325,0.000949457125183099,-0.0005723945155312987
AAPL,0.0014097759532128316,0.005027633363976071,0.0029712262908133807,0.0012147555846111107,0.01223250877603423,0.0009728538954031693,0.0003026149414570624,0.0024011440449853297,0.002071407535971244,0.0014034530484284037,0.0007904959009843503,0.0020989881347740604,0.0001991454366459311,0.0049535730703759795,0.002379749116910994,0.0003300686211465177,0.0019279189514872848,0.00036464773748865414,0.00010161824396654918,-5.814238696126779e-05,-0.0003765918586692096
BAC,0.00099931487743349,0.0005514404715350427,0.0008833342203493738,0.0012263659728239439,0.0009728538954031693,0.001701403208883998,0.00016976608159888505,0.000257944136048318,0.0011289807952783643,0.0017579862873071206,0.00041951796925352087,0.0002615467985271909,0.0005148313713900624,0.0010734366033971054,0.0009000518443902587,0.00044382441315473384,0.0004041434932975352,0.0007119040825473395,8.278169979010173e-05,0.00011115435021322364,-9.000594481357589e-05
BRK.B,0.00045837997810485186,0.0004854372022000004,0.0010327261757529346,0.00043499303818270743,0.0003026149414570624,0.00016976608159888505,0.0015316799392315619,1.4217054913439096e-05,0.00023146185249794607,0.00029773691876232414,0.0004410793497848197,-7.553965455134972e-05,0.0002559689619235135,0.0005751673667979267,0.0006066971197299496,0.00035775060506758593,0.00041594595763194426,-5.511801639925685e-05,0.00014369540440170163,0.0004797960825416668,8.570782935573145e-05
CVX,0.001151413815588419,-0.0003931664627602564,0.0011850228779503127,0.0010988618694624417,0.0024011440449853297,0.000257944136048318,1.4217054913439096e-05,0.0029499444718041868,0.0007156121941046559,0.0006780901263587637,0.0009831425659765258,0.0023329035783534813,0.00022906776415062606,0.00030040063028442874,0.001053056967887911,4.897010319698745e-05,0.0007153725952318073,0.0008582449158149453,0.00018298603965864635,-0.00021794398450978084,-0.00024433487323611116
CSCO,0.0026433046981048517,0.0010681911160025643,0.0009630781642085293,0.0021687419748990617,0.002071407535971244,0.0011289807952783643,0.00023146185249794607,0.0007156121941046559,0.009474668001757235,0.003083531369659233,0.0005897377115258216,0.0006663235759356414,0.0020498479148360715,0.0064570389418008595,0.00399521849204284,-6.76702995260172e-05,0.0024851834442036376,0.0014322800525426442,4.9920265874608696e-05,0.00047308123279068796,-0.000676900477804186
C,0.0028045135450062582,0.0006637390277260682,0.0010065872697425664,0.0024291522624741786,0.0014034530484284037,0.0017579862873071206,0.00029773691876232414,0.0006780901263587637,0.003083531369659233,0.004580139099573552,0.0007420521347558687,0.0007382270472742568,0.001454457467121284,0.002874338256050862,0.003231189605538734,0.0008453021079581376,0.0017333366130762916,0.00120772423906025,0.0002851496893258999,0.0008470703956064166,-0.0005154024429925664
