,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2013-01-31,1.3169613038884145e-09,1.2134587695348318e-09,0.16154632621382703,6.530315383855451e-10,0.20501237250791074,8.059165885515918e-10,1.5982803457747847e-09,2.8458355531828475e-09,8.135958488183051e-10,4.2856716771730665e-10,2.828784574301215e-09,1.8545095151859025e-09,7.713966447504462e-10,9.094499126147054e-10,0.17876986787112384,2.154023543139506e-09,1.0044435922312477e-09,4.991548302008884e-09,1.6421193330232786e-09,6.293847931802606e-08,0.45467134463673914
2013-03-28,2.2667045281399154e-09,5.439644370259788e-09,0.24259066954474948,5.12151248326458e-10,0.22535649516433656,7.77720007088892e-10,3.334682396900038e-09,7.503941797728595e-09,1.0824111046848622e-09,5.327434192938237e-10,5.445428998864873e-09,4.200016649813133e-09,9.686747163499051e-10,1.56572061344266e-09,0.09037336235382568,5.226575349106258e-09,1.9302363013629e-09,1.557126633843263e-08,5.0315402022308886e-09,2.775742769642777e-05,0.4416516541199022
2013-05-31,6.337687414378344e-10,8.172969007097892e-10,0.4673649149423399,2.2906092271529087e-10,0.1380376348163899,3.212329372153309e-10,7.578184723081181e-10,1.1094739624878513e-09,3.8555341189093185e-10,1.7221915574623857e-10,2.1299520321166892e-09,6.905764503277476e-10,3.550696287890341e-10,6.785718727844725e-10,0.006943940896375265,1.256393383122579e-09,7.809753775542866e-10,1.059576514373887e-08,1.0283163382064504e-09,2.526600262840319e-09,0.38765348487649165
2013-07-31,9.427659281638655e-10,1.9411641395623786e-09,0.4080185724784677,3.354624561496707e-10,0.12488493429854261,4.858619218196777e-10,2.7143282056075487e-09,9.78684073482178e-10,6.836337239180732e-10,2.1126816647408988e-10,5.690376688550691e-09,1.0690534635276381e-09,4.246869889012782e-10,8.217198120337791e-10,0.03807864822210672,1.9452968800250645e-09,1.2430844784678854e-09,0.10723632792548496,2.3266704831036336e-09,3.450360979509364e-09,0.3217814918110381
2013-09-30,1.5398925143384537e-09,1.1565628519041664e-08,0.3526676602395466,3.6214735969980536e-10,0.1862922455522446,4.1183396423622567e-10,0.035916553145634994,4.396651067366817e-09,8.543542815571556e-10,2.489249720410062e-10,1.3635693246407971e-08,3.875405135600669e-09,5.064006799999339e-10,7.913201645920846e-10,9.55535008310307e-09,2.478486282201339e-09,2.2857899228796393e-09,0.06297599063069863,2.4563556033811883e-09,5.148748867106385e-09,0.3621474903188415
2013-11-29,3.84886671666752e-09,0.02887731864563569,0.23250239572515316,0.004461670412834388,0.2632083735591194,3.572439236521195e-10,3.600338922166043e-09,3.5464460709934997e-09,1.0851830153070557e-09,2.7938706426996587e-10,0.012997329947958764,3.0719792286020652e-09,8.299577241643361e-10,2.0755354124453805e-09,0.05485255910152713,5.119133686811916e-09,2.178376267596709e-09,0.06491174260709424,2.4019202130609105e-09,3.879532614889603e-09,0.3381885777268065
2014-01-31,1.9481402809379482e-09,1.943134933507704e-08,0.4071988840145193,1.0833792530035635e-09,0.22068939599010498,5.647308869861693e-10,0.08380949809644547,1.850628282647536e-09,8.743541719948467e-10,4.3341111719977683e-10,8.502719090142497e-09,2.789682594067152e-09,7.766083012834787e-10,2.6794620329856843e-09,0.1018963147329412,3.937179559529635e-09,1.1693098441066807e-08,2.134654028943166e-08,3.8153141394374626e-09,0.02668937816254305,0.15971644727684822
2014-03-31,1.563706640492168e-09,0.02598547310357929,0.18842514570405874,0.004589948546907816,0.2369626270461478,1.2852710682338954e-09,0.12243534345716754,1.4347636336051473e-09,8.075934969402883e-10,7.415016818732122e-10,2.380951279356692e-09,1.550276406909716e-09,1.2431384066621245e-09,2.212796540559131e-09,3.150731227106856e-09,4.2049075251487e-09,0.010098902811241081,0.2326845648549896,3.870823952207359e-09,1.9311765824176095e-09,0.17881796809826378
2014-05-30,1.4497151243218433e-09,3.1707987609584915e-09,0.2635644118179125,0.00954009241080072,0.2597373592338743,1.1776515272882395e-09,0.12679579142280342,1.3472361191226884e-09,6.445796586664923e-10,6.382102702059887e-10,2.3051766068577994e-09,1.279196096513644e-09,9.440720609007642e-10,2.1712638326663974e-09,2.4348484809198265e-09,5.670955380204739e-09,0.0004632675347904315,0.21268644908482398,2.611376807802542e-09,1.9356599954842973e-09,0.1272126007142312
2014-07-31,3.4065735498594625e-09,1.2896250054983692e-08,0.354252823658678,0.013259500943996314,0.2447369499663028,1.9207479018043412e-09,0.14049526059039003,4.175110878793917e-09,1.8116857497105545e-09,2.08395998915503e-09,5.311278617598379e-09,3.0362337633625733e-09,3.379354672643127e-09,7.040742661832606e-09,4.725771049062892e-09,1.15517348610514e-08,7.218886858208381e-09,0.11485974053145513,5.359723751415681e-09,4.882016554377751e-09,0.13239564550923902
