PERMNO,date,COMNAM,PRC,RET,SHROUT
10001,2008-01-03,ENERGY WEST INC,14.07000,-0.026298,2875
10002,2008-01-03,BANCTRUST FINANCIAL GROUP INC,11.83000,-0.044427,17497
10025,2008-01-03,A E P INDUSTRIES INC,31.59000,0.002857,6850
10026,2008-01-03,J & J SNACK FOODS CORP,29.19000,-0.037587,18710
10028,2008-01-03,D G S E COMPANIES INC,5.00000,-0.040307,9900
10032,2008-01-03,PLEXUS CORP,25.11000,0.000398,46479
10042,2008-01-03,CANYON RESOURCES CORP,0.47000,0.119048,53048
10044,2008-01-03,ROCKY MOUNTAIN CHOCOLATE FAC INC,15.74000,-0.000635,6369
10051,2008-01-03,HANGER ORTHOPEDIC GROUP INC,10.43000,-0.018815,22656
10065,2008-01-03,ADAMS EXPRESS CO,13.66000,-0.005822,85491
10066,2008-01-03,FRANKLIN TELECOMMUNICATIONS CORP,,B,43809
10078,2008-01-03,SUN MICROSYSTEMS INC,17.15000,-0.015499,792000
10092,2008-01-03,4 KIDS ENTERTAINMENT INC,12.07000,-0.069391,13212
10100,2008-01-03,AMERICAN CLAIMS EVALUATION INC,0.90000,-0.021739,4762
10104,2008-01-03,ORACLE CORP,23.11000,0.027568,5136588
10107,2008-01-03,MICROSOFT CORP,35.37000,0.004259,9329000
10116,2008-01-03,ACURA PHARMACEUTICALS INC,,B,14427
10137,2008-01-03,ALLEGHENY ENERGY INC,63.47000,0.008261,166237
10138,2008-01-03,T ROWE PRICE GROUP INC,58.94000,0.002210,264605
10143,2008-01-03,O S I PHARMACEUTICALS INC,44.74000,-0.050912,57120
10145,2008-01-03,HONEYWELL INTERNATIONAL INC,60.20000,0.005008,746770
10147,2008-01-03,E M C CORP MA,17.83000,-0.010544,2098225
10163,2008-01-03,X RITE INC,11.41000,-0.011265,29026
10180,2008-01-03,AKORN INC,7.35000,0.006849,88901
10182,2008-01-03,TECH DATA CORP,36.59000,-0.016398,55459
10200,2008-01-03,REPLIGEN CORP,6.69000,0.006015,31055
10205,2008-01-03,L S B CORP,16.00000,0.010101,4517
10207,2008-01-03,ROYCE FOCUS TRUST INC,8.98000,-0.005526,16548
10225,2008-01-03,FORTUNE BRANDS INC,72.02000,0.000278,153814
10232,2008-01-03,ELMIRA SAVINGS BANK FSB NY,19.85600,-0.002211,1736
10238,2008-01-03,GREAT LAKES BANCORP INC NEW,12.82000,-0.014604,10826
10239,2008-01-03,BALDWIN & LYONS INC,26.68000,-0.008915,12593
10252,2008-01-03,INDEPENDENT BANK CORP MA,25.27000,-0.026579,13578
10253,2008-01-03,DOCUMENT SECURITY SYSTEMS INC,6.85000,0.085578,13676
10257,2008-01-03,TEAMSTAFF INC,-0.65500,-0.029630,19403
10258,2008-01-03,AVANT IMMUNOTHERAPEUTICS INC,0.63000,0.125000,74188
10259,2008-01-03,SIGMA DESIGNS INC,55.18000,0.022230,29452
10271,2008-01-03,MASSBANK CORP,36.15000,-0.016193,4233
10272,2008-01-03,TEKELEC,12.35000,-0.009623,67480
10290,2008-01-03,HARLEYSVILLE GROUP INC,35.69000,0.028530,30323
10294,2008-01-03,HAVERTY FURNITURE COS INC,8.21000,-0.037515,4139
10297,2008-01-03,NEW HAMPSHIRE THRIFT BNCSHRS INC,11.75000,0.000000,5727
10299,2008-01-03,LINEAR TECHNOLOGY CORP,30.72000,-0.007431,223977
10302,2008-01-03,CYPRESS SEMICONDUCTOR CORP,36.02000,0.027089,159191
10304,2008-01-03,AMCORE FINANCIAL INC,21.87000,-0.012195,21940
10308,2008-01-03,TOMPKINS FINANCIAL CORP,37.80000,0.009076,9557
