TICKER,CUSIP,OFTIC,CNAME,STATPERS,MEANREC,MEDREC,STDEV,NUMREC,NUMUP,NUMDOWN,BUYPCT,SELLPCT,HOLDPCT,USFIRM
AAPL,03783310,AAPL,APPLE INC,2008-01-17,1.93,2,0.66,28,0,0,82.14,0,17.86,1
AAPL,03783310,AAPL,APPLE INC,2008-02-14,1.96,2,0.69,28,0,0,78.57,0,21.43,1
AAPL,03783310,AAPL,APPLE INC,2008-03-20,1.96,2,0.72,26,0,0,76.92,0,23.08,1
AAPL,03783310,AAPL,APPLE INC,2008-04-17,1.96,2,0.88,28,1,1,82.14,3.57,14.29,1
AAPL,03783310,AAPL,APPLE INC,2008-05-15,1.82,2,0.67,28,2,0,85.71,0,14.29,1
AAPL,03783310,AAPL,APPLE INC,2008-06-19,1.83,2,0.7,30,0,0,83.33,0,16.67,1
AAPL,03783310,AAPL,APPLE INC,2008-07-17,1.89,2,0.69,28,0,0,82.14,0,17.86,1
AAPL,03783310,AAPL,APPLE INC,2008-08-14,1.89,2,0.69,28,0,0,82.14,0,17.86,1
AAPL,03783310,AAPL,APPLE INC,2008-09-18,1.97,2,0.71,31,0,0,77.42,0,22.58,1
AAPL,03783310,AAPL,APPLE INC,2008-10-16,1.88,2,0.71,32,3,2,81.25,0,18.75,1
AAPL,03783310,AAPL,APPLE INC,2008-11-20,1.91,2,0.82,32,1,2,78.13,3.13,18.75,1
AAPL,03783310,AAPL,APPLE INC,2008-12-18,2.06,2,0.86,33,0,3,66.67,3.03,30.3,1
AAPL,03783310,AAPL,APPLE INC,2009-01-15,2.03,2,0.9,34,2,2,70.59,5.88,23.53,1
AAPL,03783310,AAPL,APPLE INC,2009-02-19,2.03,2,0.89,35,1,1,71.43,5.71,22.86,1
AAPL,03783310,AAPL,APPLE INC,2009-03-19,1.94,2,0.91,35,1,0,74.29,5.71,20,1
AAPL,03783310,AAPL,APPLE INC,2009-04-16,1.97,2,0.91,36,0,0,72.22,5.56,22.22,1
AAPL,03783310,AAPL,APPLE INC,2009-05-14,2,2,0.9,38,2,2,71.05,5.26,23.68,1
AAPL,03783310,AAPL,APPLE INC,2009-06-18,2,2,0.87,38,0,0,73.68,5.26,21.05,1
AAPL,03783310,AAPL,APPLE INC,2009-07-16,1.95,2,0.86,39,1,0,76.92,5.13,17.95,1
AAPL,03783310,AAPL,APPLE INC,2009-08-20,1.92,2,0.91,38,2,1,81.58,5.26,13.16,1
AAPL,03783310,AAPL,APPLE INC,2009-09-17,1.89,2,0.89,38,1,0,84.21,5.26,10.53,1
AAPL,03783310,AAPL,APPLE INC,2009-10-15,1.95,2,1,39,1,0,84.62,7.69,7.69,1
AAPL,03783310,AAPL,APPLE INC,2009-11-19,1.97,2,0.99,39,0,1,84.62,7.69,7.69,1
AAPL,03783310,AAPL,APPLE INC,2009-12-17,1.9,2,1,41,1,0,85.37,7.32,7.32,1
AAPL,03783310,AAPL,APPLE INC,2010-01-14,1.85,2,0.95,40,0,0,87.5,5,7.5,1
AAPL,03783310,AAPL,APPLE INC,2010-02-18,1.93,2,0.99,43,1,0,83.72,6.98,9.3,1
AAPL,03783310,AAPL,APPLE INC,2010-03-18,1.88,2,0.87,41,0,0,85.37,4.88,9.76,1
AAPL,03783310,AAPL,APPLE INC,2010-04-15,1.86,2,0.87,42,0,0,85.71,4.76,9.52,1
AAPL,03783310,AAPL,APPLE INC,2010-05-20,1.83,2,0.85,42,1,0,88.1,4.76,7.14,1
AAPL,03783310,AAPL,APPLE INC,2010-06-17,1.76,2,0.85,42,0,0,90.48,4.76,4.76,1
