caldt,b20ret,b7ret,b1ret
2008-01-31,0.025689,0.036982,0.013061
2008-02-29,0.000404,0.014976,0.005399
2008-03-31,0.012042,0.017594,0.002887
2008-04-30,-0.018873,-0.029068,-0.002938
2008-05-30,-0.029605,-0.018669,-0.001104
2008-06-30,0.023758,0.014134,0.001278
2008-07-31,-0.000827,0.009349,0.003177
2008-08-29,0.023764,0.012839,0.002366
2008-09-30,0.007784,0.003465,0.005113
2008-10-31,-0.036296,-0.007144,0.005218
2008-11-28,0.144461,0.081895,0.007170
2008-12-31,0.091421,0.036706,0.003890
2009-01-30,-0.105931,-0.029484,-0.001545
2009-02-27,-0.004178,-0.011374,-0.001389
2009-03-31,0.057347,0.032325,0.001434
2009-04-30,-0.061338,-0.024371,0.001908
2009-05-29,-0.025809,-0.019651,0.000361
2009-06-30,0.006795,-0.005474,0.000567
2009-07-31,0.007232,0.008512,0.001105
2009-08-31,0.020938,0.010546,0.001488
2009-09-30,0.016535,0.010792,0.000799
2009-10-30,-0.014160,0.002101,-0.000021
2009-11-30,0.018410,0.022120,0.001892
2009-12-31,-0.054419,-0.038514,-0.001166
2010-01-29,0.029431,0.023747,0.003246
2010-02-26,-0.002964,0.003708,-0.000473
2010-03-31,-0.013103,-0.009930,-0.000869
2010-04-30,0.029069,0.013512,0.000162
2010-05-28,0.040848,0.025802,0.000695
2010-06-30,0.044813,0.024838,0.001116
2010-07-30,-0.000159,0.009597,0.000856
2010-08-31,0.073081,0.022601,0.001025
2010-09-30,-0.017073,0.003909,0.000346
2010-10-29,-0.029154,0.001257,0.000304
2010-11-30,-0.016369,-0.010132,-0.000524
2010-12-31,-0.038450,-0.031250,-0.000083
2011-01-31,-0.018943,0.004017,0.001078
2011-02-28,0.009301,-0.004725,0.000241
2011-03-31,0.000606,-0.001206,0.000077
2011-04-29,0.020522,0.018198,0.000672
2011-05-31,0.033069,0.023058,0.001021
2011-06-30,-0.015913,-0.002822,0.000198
2011-07-29,0.043219,0.027002,-0.000921
2011-08-31,0.082606,0.035711,0.001945
2011-09-30,0.072288,0.009159,-0.001243
2011-10-31,-0.022895,-0.005505,0.000650
2011-11-30,0.016038,0.005789,0.000291
2011-12-30,0.027565,0.014868,-0.000495
2012-01-31,0.000123,0.010223,0.000450
2012-02-29,-0.020789,-0.007426,-0.000635
2012-03-30,-0.035932,-0.011703,-0.000285
2012-04-30,0.041630,0.021896,0.000716
2012-05-31,0.082921,0.022031,0.000108
2012-06-29,-0.016865,-0.004542,-0.000491
2012-07-31,0.035250,0.010579,0.001154
2012-08-31,-0.012587,-0.000892,-0.000172
2012-09-28,-0.020368,-0.001414,0.000157
2012-10-31,-0.002611,-0.004347,0.000080
2012-11-30,0.011232,0.008396,0.000265
2012-12-31,-0.017688,-0.007175,0.000379
2013-01-31,-0.032754,-0.010384,0.000448
2013-02-28,0.012462,0.011607,0.000347
2013-03-28,-0.001676,0.003451,0.000170
2013-04-30,0.038864,0.009879,0.000714
2013-05-31,-0.057787,-0.023619,-0.000074
2013-06-28,-0.034452,-0.024590,-0.000038
2013-07-31,-0.016208,0.000936,0.000688
2013-08-30,-0.011093,-0.013279,-0.000054
2013-09-30,0.008511,0.019578,0.000888
2013-10-31,0.011196,0.005560,0.000122
2013-11-29,-0.022515,-0.004939,0.000042
2013-12-31,-0.020537,-0.019825,0.000129
2014-01-31,0.057749,0.023775,0.000323
2014-02-28,0.006708,0.002768,0.000266
2014-03-31,0.004409,-0.009167,0.000359
2014-04-30,0.017718,0.007413,0.000680
2014-05-30,0.025147,0.014396,-0.000006
2014-06-30,-0.003278,-0.002550,0.000004
2014-07-31,0.008294,-0.003625,0.000281
2014-08-29,0.038171,0.014499,0.000623
2014-09-30,-0.015959,-0.007935,0.000191
2014-10-31,0.027575,0.013729,0.000190
2014-11-28,0.029607,0.012307,0.000189
2014-12-31,0.028092,-0.003678,-0.000691
2015-01-30,0.075035,0.036325,0.001475
2015-02-27,-0.053983,-0.021312,-0.000415
2015-03-31,0.013056,0.008936,0.000509
2015-04-30,-0.025514,-0.003749,0.000592
2015-05-29,-0.020597,-0.003667,0.000272
2015-06-30,-0.027738,-0.011348,-0.000054
2015-07-31,0.039302,0.013578,0.000121
2015-08-31,-0.007340,-0.000304,0.000064
2015-09-30,0.024734,0.015837,0.001163
