,A T & T INC,ALPHABET INC,ALTRIA GROUP INC,AMERICAN INTERNATIONAL GROUP INC,APPLE INC,BANK OF AMERICA CORP,BERKSHIRE HATHAWAY INC DEL,CHEVRON CORP NEW,CISCO SYSTEMS INC,CITIGROUP INC,COCA COLA CO,EXXON MOBIL CORP,GENERAL ELECTRIC CO,INTEL CORP,INTERNATIONAL BUSINESS MACHS COR,JOHNSON & JOHNSON,MICROSOFT CORP,PFIZER INC,PROCTER & GAMBLE CO,WALMART INC
2008-01-31,-0.064244,-0.183924,0.002779,-0.057118,-0.31664,0.070044,-0.039548,-0.108004,-0.094936,-0.032269,-0.038618,-0.07781,-0.046129,-0.208552,-0.009158,-0.053373,-0.08427,0.027717,-0.104195,0.067536
2008-02-29,-0.09509,-0.165019,-0.034965,-0.147535,-0.076389,-0.099887,0.029412,0.047928,-0.00449,-0.158324,-0.009153,0.011111,-0.054016,-0.047517,0.066754,-0.012116,-0.162273,-0.032534,0.011617,-0.022665
2008-03-31,0.099627,-0.065177,0.005332,-0.07277,0.147816,-0.029945,-0.047143,-0.015001,-0.0123,-0.096584,0.047725,-0.027928,0.116777,0.060596,0.011242,0.046966,0.043386,-0.060592,0.058779,0.0671
2008-04-30,0.021149,0.303812,-0.099099,0.068208,0.212195,-0.00976,0.003373,0.126406,0.064342,0.179739,-0.032857,0.100378,-0.116455,0.050991,0.048289,0.034222,0.004933,-0.039178,-0.037391,0.100607
2008-05-30,0.030741,0.020042,0.113,-0.220779,0.085082,-0.094033,0.005977,0.037962,0.042122,-0.121092,-0.027348,-0.042011,-0.060551,0.047619,0.076471,0.00164,-0.003156,-0.021382,-0.014914,-4.3e-05
2008-06-30,-0.155639,-0.101366,-0.063342,-0.259444,-0.112901,-0.27933,-0.103231,-0.000202,-0.129491,-0.234354,-0.085575,-0.007098,-0.121094,-0.073339,-0.084215,-0.03596,-0.028602,-0.097624,-0.079334,-0.026671
2008-07-31,-0.073612,-0.100053,-0.010214,-0.015495,-0.050705,0.378299,-0.052174,-0.146979,-0.0546,0.134248,-0.009234,-0.087371,0.059948,0.033054,0.079727,0.06419,-0.065067,0.068689,0.083374,0.04306
2008-08-29,0.038299,-0.022079,0.033415,-0.175048,0.066562,-0.053496,0.018785,0.0285,0.093679,0.016051,0.011068,-0.000249,-0.006716,0.036954,-0.044929,0.035344,0.065319,0.040707,0.065516,0.011728
2008-09-30,-0.127227,-0.135488,-0.041369,-0.834807,-0.329558,0.144509,0.120069,-0.044486,-0.061954,0.080042,0.022854,-0.029371,-0.081495,-0.181023,-0.039185,-0.016328,-0.021986,-0.03506,-0.001147,0.013882
2008-10-31,-0.026862,-0.102766,-0.032762,-0.426426,-0.053405,-0.309429,-0.115697,-0.095538,-0.212323,-0.32667,-0.166793,-0.045583,-0.234902,-0.1441,-0.205113,-0.114607,-0.163357,-0.039588,-0.068159,-0.068125
2008-11-28,0.066866,-0.184773,-0.162064,0.052356,-0.138675,-0.327679,-0.099489,0.067828,-0.069218,-0.392674,0.072401,0.086751,-0.119939,-0.130435,-0.116919,-0.037496,-0.08867,-0.054207,-0.002944,0.001254
2008-12-31,-0.002101,0.050143,-0.043532,-0.218905,-0.07899,-0.113846,-0.071154,-0.063789,-0.01451,-0.190591,-0.034137,-0.003993,-0.038439,0.062319,0.031373,0.021338,-0.038576,0.077906,-0.039316,0.007471
2009-01-30,-0.121754,0.100374,0.098274,-0.184713,0.056005,-0.53267,-0.073478,-0.046641,-0.081595,-0.469449,-0.056329,-0.041964,-0.251235,-0.120055,0.088997,-0.035768,-0.12037,-0.176736,-0.111938,-0.159472
2009-02-27,-0.034525,-0.001595,-0.066506,-0.671875,-0.009098,-0.399696,-0.121807,-0.129892,-0.02672,-0.577465,-0.043773,-0.106956,-0.272877,-0.00155,0.009602,-0.125325,-0.047953,-0.133745,-0.116147,0.044992
2009-03-31,0.06016,0.029794,0.05829,1.380952,0.177024,0.729114,0.103053,0.107561,0.150995,0.686667,0.085924,0.002945,0.188014,0.179749,0.052809,0.052,0.137461,0.106417,-0.022421,0.063617
2009-04-30,0.032937,0.137649,0.019351,0.38,0.197013,0.309384,0.084198,-0.016954,0.152057,0.205534,-0.020478,-0.020999,0.251236,0.0499,0.065229,-0.004563,0.102885,-0.01909,0.059248,-0.03263
2009-05-29,-0.032397,0.053691,0.04654,0.224638,0.079313,0.262038,-0.025532,0.018457,-0.042443,0.219672,0.141928,0.046498,0.065613,0.00507,0.035074,0.062834,0.037512,0.148952,0.050566,-0.007688
2009-06-30,0.002017,0.01045,-0.022235,-0.31361,0.048745,0.172138,-0.017467,-0.0063,0.008108,-0.201613,-0.01546,0.008075,-0.123145,0.052799,-0.017501,0.029732,0.137865,-0.012508,-0.016173,-0.026136
2009-07-31,0.072464,0.050903,0.069555,-0.433621,0.14716,0.120455,0.077778,0.048604,0.180161,0.06734,0.03855,0.006866,0.143345,0.163142,0.129381,0.072007,-0.010517,0.062,0.094912,0.029728
2009-08-31,-0.006862,0.042027,0.042784,2.449772,0.0295,0.189317,0.039691,0.016554,-0.018628,0.577287,-0.021469,-0.011649,0.037313,0.062857,0.005681,0.000657,0.053571,0.05838,-0.025221,0.025311
2009-09-30,0.036852,0.074036,-0.007112,-0.026914,0.101896,-0.037521,0.001487,0.007006,0.089815,-0.032,0.109494,-0.007809,0.188489,-0.036909,0.013215,0.007445,0.043408,-0.008982,0.070412,-0.034991
2009-10-30,-0.034432,0.081214,0.016845,-0.237815,0.016995,-0.138298,-0.019802,0.086753,-0.031011,-0.154959,-0.007263,0.0446,-0.131547,-0.023505,0.008361,-0.030218,0.078149,0.029003,0.008978,0.012019
2009-11-30,0.049474,0.087443,0.038653,-0.155265,0.060531,0.087106,0.016162,0.028482,0.025866,0.00489,0.08066,0.0533,0.123422,0.012036,0.052152,0.072481,0.065272,0.076336,0.075,0.098027
2009-12-31,0.04046,0.06343,0.061669,0.055634,0.054134,-0.049211,-0.013917,-0.013455,0.023077,-0.194647,-0.003497,-0.091648,-0.049313,0.0625,0.036011,0.024984,0.036382,0.001101,-0.027586,-0.01517
2010-01-29,-0.080271,-0.145224,0.011717,-0.191795,-0.088591,0.007968,0.155242,-0.063255,-0.061404,0.003021,-0.048246,-0.05514,0.062789,-0.04902,-0.065011,-0.024065,-0.075459,0.025838,0.022431,-0.000374
2010-02-26,-0.021688,-0.005933,0.013092,0.022286,0.06538,0.097497,0.045375,0.011925,0.082777,0.024096,-0.028203,0.015366,0.004975,0.066366,0.043468,0.010022,0.022001,-0.049839,0.028107,0.011978
2010-03-31,0.041516,0.076538,0.037276,0.37828,0.14847,0.072029,0.016694,0.048824,0.069873,0.191176,0.051593,0.030462,0.13325,0.085728,0.008572,0.034921,0.021538,-0.022792,-0.000158,0.033891
2010-04-30,0.024768,-0.073044,0.032651,0.139426,0.111021,-0.00112,-0.053161,0.073981,0.034575,0.079012,-0.028182,0.011794,0.036264,0.024675,0.005848,-0.013804,0.042595,-0.025073,-0.009929,-0.035252
2010-05-28,-0.067536,-0.076213,-0.042473,-0.090488,-0.016125,-0.117218,-0.081639,-0.084111,-0.139993,-0.093821,-0.038354,-0.101372,-0.133086,-0.055276,-0.023953,-0.084915,-0.150811,-0.078349,-0.017214,-0.05178
2010-06-30,-0.004527,-0.083767,0.004929,-0.026569,-0.020827,-0.086404,0.133037,-0.081359,-0.079879,-0.050505,-0.016342,-0.05607,-0.111927,-0.09197,-0.01421,0.013036,-0.10814,-0.06369,-0.01817,-0.049248
2010-07-30,0.089706,0.089673,0.105788,0.117015,0.022741,-0.022965,-0.025,0.123047,0.08259,0.090426,0.099561,0.045733,0.117892,0.059126,0.039844,-0.016424,0.121686,0.051893,0.027706,0.064905
2010-08-31,0.04202,-0.071837,0.00722,-0.118014,-0.055005,-0.112536,0.014316,-0.018501,-0.133723,-0.095366,0.014017,-0.002178,-0.101737,-0.13483,-0.035981,-0.009124,-0.085819,0.072667,-0.024362,-0.014602
2010-09-30,0.058084,0.16837,0.09319,0.152372,0.167215,0.052368,0.049084,0.094087,0.095822,0.054192,0.055071,0.045339,0.130525,0.086895,0.089418,0.086636,0.043682,0.079195,0.005028,0.067411
2010-10-29,0.011888,0.167196,0.058181,0.074425,0.060723,-0.126197,-0.041767,0.019124,0.043836,0.066496,0.047847,0.076064,-0.014154,0.044271,0.070523,0.028728,0.088812,0.014269,0.068064,0.012145
2010-11-30,-0.025596,-0.094492,-0.055769,-0.017139,0.03379,-0.043585,0.007544,-0.011017,-0.161855,0.007194,0.037345,0.05279,-0.01186,0.063092,-0.010376,-0.025886,-0.046784,-0.053689,-0.039327,-0.001477
2010-12-31,0.057215,0.068849,0.041667,0.395495,0.03667,0.219178,0.00208,0.126961,0.055845,0.126191,0.041159,0.051179,0.164245,-0.006026,0.037466,0.004874,0.105018,0.074233,0.053381,0.002635
2011-01-31,-0.048673,0.010758,-0.045085,-0.163168,0.051959,0.029235,0.016397,0.040329,0.045477,0.019028,-0.044397,0.103392,0.101148,0.020447,0.103843,-0.03363,-0.006628,0.040548,-0.011164,0.039681
2011-02-28,0.03125,0.02172,0.079115,-0.081536,0.040935,0.040787,0.072493,0.100495,-0.122459,-0.029046,0.017025,0.065568,0.04568,0.00891,0.003272,0.036975,-0.035528,0.066959,-0.001267,-0.072945
2011-03-31,0.078577,-0.04343,0.040993,-0.051808,-0.013314,-0.06648,-0.045697,0.036048,-0.072737,-0.055556,0.045213,-0.016369,-0.041587,-0.060084,0.007351,-0.035645,-0.044771,0.055613,-0.022998,0.008369
2011-04-29,0.030709,-0.072704,0.031118,-0.113546,0.004656,-0.07877,-0.004389,0.018141,0.021574,0.038462,0.016883,0.045763,0.01995,0.147175,0.046054,0.109198,0.020874,0.032496,0.062094,0.056292
2011-05-31,0.014139,-0.027715,0.045455,-0.085072,-0.006569,-0.04316,-0.047896,-0.034265,-0.041096,-0.103268,-0.009635,-0.04592,-0.039609,-0.019819,-0.005276,0.032562,-0.028935,0.032427,0.032357,0.011004
2011-06-30,-0.004753,-0.042796,-0.04526,0.028772,-0.03496,-0.066383,-0.022479,-0.019731,-0.070833,0.011908,0.014219,-0.025039,-0.032077,-0.015549,0.015509,-0.011443,0.039584,-0.039627,-0.051194,-0.037668
2011-07-29,-0.05476,0.192168,-0.004165,-0.021146,0.163285,-0.114051,-0.039662,0.011474,0.026906,-0.079011,0.0107,-0.019538,-0.050371,0.007671,0.060041,-0.026007,0.053846,-0.065583,-0.024461,-0.008092
2011-08-31,-0.026658,-0.103911,0.03384,-0.117422,-0.014469,-0.15757,-0.015525,-0.0423,-0.018785,-0.190141,0.035877,-0.066424,-0.089336,-0.089118,-0.050536,0.024387,-0.023358,-0.003585,0.035616,0.016031
2011-09-30,0.001405,-0.047915,0.001103,-0.133439,-0.009121,-0.250918,-0.027048,-0.063234,-0.010849,-0.17504,-0.034351,-0.018779,-0.057633,0.059861,0.017218,-0.032067,-0.064286,-0.068493,-0.007852,-0.024253
2011-10-31,0.042777,0.150668,0.027602,0.124829,0.061523,0.116013,0.095037,0.134572,0.199355,0.233262,0.011249,0.075176,0.097897,0.150223,0.055813,0.010991,0.069908,0.089367,0.02113,0.092871
2011-11-30,-0.011259,0.01139,0.041379,-0.055893,-0.055783,-0.20205,0.013254,-0.013517,0.005936,-0.129788,-0.009075,0.036112,-0.047875,0.023635,0.022315,0.013977,-0.031919,0.05244,0.009064,0.038434
2011-12-30,0.043478,0.077596,0.047752,-0.004719,0.059655,0.022059,-0.031603,0.034818,-0.030043,-0.042576,0.040756,0.053705,0.136392,-0.026495,-0.021915,0.013288,0.014855,0.078226,0.033142,0.020798
2012-01-31,-0.012897,-0.101858,-0.042159,0.082328,0.127111,0.282374,0.027624,-0.030827,0.089878,0.167617,-0.034872,-0.012034,0.044668,0.089485,0.047422,0.005032,0.137519,-0.011091,-0.047144,0.026774
2012-02-29,0.040122,0.065746,0.059859,0.16368,0.188311,0.119215,7.6e-05,0.06604,0.011962,0.084961,0.034503,0.038572,0.027258,0.02536,0.025337,-0.003945,0.081612,-0.00257,0.072652,-0.037158
2012-03-30,0.020922,0.037186,0.039203,0.055099,0.105284,0.200753,0.033629,-0.017504,0.063883,0.096939,0.066705,0.002659,0.053543,0.045945,0.060591,0.013522,0.016226,0.071953,-0.006063,0.042612
2012-04-30,0.067883,-0.056749,0.043408,0.103795,-0.025969,-0.15256,-0.009024,-0.006063,-0.043262,-0.095896,0.031212,-0.004497,-0.024415,0.009959,-0.007525,-0.013038,-0.007441,0.011261,-0.044755,-0.037418
2012-05-31,0.038286,-0.039663,-0.000621,-0.142521,-0.010702,-0.092478,-0.016142,-0.068975,-0.189779,-0.197458,-0.020833,-0.082696,-0.025026,-0.082585,-0.064371,-0.031644,-0.081993,-0.035371,-0.021213,0.124045
2012-06-29,0.043606,-0.00136,0.086052,0.099726,0.010853,0.112925,0.051283,0.073136,0.051439,0.033949,0.053125,0.088262,0.100576,0.031347,0.013893,0.082172,0.047962,0.051669,-0.016696,0.059253
2012-07-31,0.075715,0.091196,0.0411,-0.025553,0.045822,-0.10269,0.020009,0.038673,-0.066395,-0.010215,0.03338,0.014958,-0.004319,-0.035647,0.002045,0.024571,-0.036613,0.045217,0.06289,0.067556
2012-08-31,-0.033755,0.082342,-0.05588,0.097857,0.093539,0.088556,-0.006945,0.031758,0.196238,0.095466,-0.074257,0.011744,-0.001928,-0.025097,-0.001429,-0.017047,0.052596,0.001664,0.04106,-0.019246
2012-09-28,0.02893,0.101315,-0.003828,-0.044859,0.002803,0.106383,0.048515,0.03923,0.000786,0.101313,0.020989,0.047537,0.10478,-0.087596,0.064665,0.021949,-0.034393,0.041492,0.032296,0.016529
