PERMNO,date,COMNAM,PERMCO,RCRDDT,DLRET,PRC,RET,SHROUT
10107,2008-01-31,MICROSOFT CORP,8048,,,32.60000,-0.084270,9306980
10107,2008-02-29,MICROSOFT CORP,8048,2008-02-21,,27.19990,-0.162273,9306980
10107,2008-03-31,MICROSOFT CORP,8048,,,28.38000,0.043386,9310000
10107,2008-04-30,MICROSOFT CORP,8048,,,28.52000,0.004933,9313293
10107,2008-05-30,MICROSOFT CORP,8048,2008-05-15,,28.32000,-0.003156,9313293
10107,2008-06-30,MICROSOFT CORP,8048,,,27.51000,-0.028602,9151000
10107,2008-07-31,MICROSOFT CORP,8048,,,25.72000,-0.065067,9130293
10107,2008-08-29,MICROSOFT CORP,8048,2008-08-21,,27.29000,0.065319,9130293
10107,2008-09-30,MICROSOFT CORP,8048,,,26.69000,-0.021986,8977000
10107,2008-10-31,MICROSOFT CORP,8048,,,22.33000,-0.163357,8895573
10107,2008-11-28,MICROSOFT CORP,8048,2008-11-20,,20.22000,-0.088670,8895573
10107,2008-12-31,MICROSOFT CORP,8048,,,19.44000,-0.038576,8889000
10107,2009-01-30,MICROSOFT CORP,8048,,,17.10000,-0.120370,8890563
10107,2009-02-27,MICROSOFT CORP,8048,2009-02-19,,16.15000,-0.047953,8890563
10107,2009-03-31,MICROSOFT CORP,8048,,,18.37000,0.137461,8898000
10107,2009-04-30,MICROSOFT CORP,8048,,,20.26000,0.102885,8899720
10107,2009-05-29,MICROSOFT CORP,8048,2009-05-21,,20.89000,0.037512,8899720
10107,2009-06-30,MICROSOFT CORP,8048,,,23.77000,0.137865,8908000
10107,2009-07-31,MICROSOFT CORP,8048,,,23.52000,-0.010517,8910674
10107,2009-08-31,MICROSOFT CORP,8048,2009-08-20,,24.65000,0.053571,8910674
10107,2009-09-30,MICROSOFT CORP,8048,,,25.72000,0.043408,8900000
10107,2009-10-30,MICROSOFT CORP,8048,,,27.73000,0.078149,8879121
10107,2009-11-30,MICROSOFT CORP,8048,2009-11-19,,29.41000,0.065272,8879121
10107,2009-12-31,MICROSOFT CORP,8048,,,30.48000,0.036382,8811000
10107,2010-01-29,MICROSOFT CORP,8048,,,28.18000,-0.075459,8770461
10107,2010-02-26,MICROSOFT CORP,8048,2010-02-18,,28.67000,0.022001,8770461
10107,2010-03-31,MICROSOFT CORP,8048,,,29.28750,0.021538,8762000
10107,2010-04-30,MICROSOFT CORP,8048,,,30.53500,0.042595,8763839
10107,2010-05-28,MICROSOFT CORP,8048,2010-05-20,,25.80000,-0.150811,8763839
10107,2010-06-30,MICROSOFT CORP,8048,,,23.01000,-0.108140,8653567
10107,2010-07-30,MICROSOFT CORP,8048,,,25.81000,0.121686,8653567
10107,2010-08-31,MICROSOFT CORP,8048,2010-08-19,,23.46500,-0.085819,8653567
10107,2010-09-30,MICROSOFT CORP,8048,,,24.49000,0.043682,8562000
10107,2010-10-29,MICROSOFT CORP,8048,,,26.66500,0.088812,8555523
10107,2010-11-30,MICROSOFT CORP,8048,2010-11-18,,25.25750,-0.046784,8555523
10107,2010-12-31,MICROSOFT CORP,8048,,,27.91000,0.105018,8403000
10107,2011-01-31,MICROSOFT CORP,8048,,,27.72500,-0.006628,8402382
10107,2011-02-28,MICROSOFT CORP,8048,2011-02-17,,26.58000,-0.035528,8402382
10107,2011-03-31,MICROSOFT CORP,8048,,,25.39000,-0.044771,8431000
10107,2011-04-29,MICROSOFT CORP,8048,,,25.92000,0.020874,8432767
10107,2011-05-31,MICROSOFT CORP,8048,2011-05-19,,25.01000,-0.028935,8432767
10107,2011-06-30,MICROSOFT CORP,8048,,,26.00000,0.039584,8376000
