,AAPL,AIG,BAC,BRK.B,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,KO,MO,MSFT,PFE,PG,T,WMT,XOM,BOND20
2000-01-31,0.009119,-0.034682,-0.034869,-0.093945,0.023569,0.02217,-0.034632,-0.136511,,0.040556,0.201974,-0.077078,-0.013948,-0.092391,-0.16167,0.115607,-0.074661,-0.115513,-0.207957,0.035687,0.017036
2000-02-29,0.104819,-0.152695,-0.050323,-0.13288850000000002,-0.088202,0.207192,-0.099103,-0.009355,,-0.083563,0.142438,-0.160145,-0.153428,-0.032934,-0.086845,-0.109775,-0.130489,-0.112245,-0.107306,-0.092105,0.030678
2000-03-31,0.184842,0.238728,0.150815,0.2819445,0.155609,0.16974,0.237657,0.178735,,0.148418,0.167589,-0.024306,-0.031208,0.070217,0.188811,0.138132,-0.357041,0.106732,0.157238,0.034855,0.034984
2000-04-28,-0.086516,0.001712,-0.065554,0.0447645,-0.002547,-0.103274,-0.079108,0.010442,,-0.055085,-0.038844,0.174377,0.006658,0.035503,-0.343529,0.152137,0.063186,0.046083,-0.019912,-0.003208,-0.007828
2000-05-31,-0.322922,0.026667,0.141582,-0.013763000000000001,0.044071,-0.178724,0.093539,0.005167,,-0.03583,-0.01652,0.088727,0.12963,0.194286,-0.103047,0.06,0.112971,-0.002853,0.047404,0.078069,-0.004246
2000-06-30,0.247024,0.043865,-0.224352,-0.0743595,-0.031156,0.116356,-0.082488,0.005931,,0.020373,0.07218,0.138268,0.079297,0.03512,0.278721,0.077139,-0.139098,-0.010014,-0.005431,-0.057764,0.020999
2000-07-31,-0.029833,0.119415,0.101744,0.030548,0.171162,0.029499,-0.068534,-0.026903,,0.026241,-0.001403,-0.086503,0.067465,-0.049412,-0.127344,-0.101563,-0.000437,-0.010029,-0.046638,0.019108,0.018508
2000-08-31,0.199262,0.016815,0.141161,0.047702999999999995,0.105684,0.048711,0.077848,0.140948,,0.175142,0.121948,-0.00865,-0.141692,0.173267,0.0,0.004986,0.086813,-0.01909,-0.136519,0.025812,0.022423
2000-09-29,-0.577436,0.073633,-0.02217,0.099094,-0.073876,-0.1949,0.008876,-0.014711,,-0.147727,-0.444908,0.021754,0.050736,0.011561,-0.136079,0.039017,0.083923,0.197605,0.015758,0.091884,-0.013494
2000-10-31,-0.240291,0.024167,-0.082339,0.002536000000000001,-0.02659,-0.024887,-0.036657,-0.049837,,-0.124444,0.082707,-0.019295,0.095238,0.244161,0.141969,-0.038943,0.071455,0.158825,-0.057143,0.000701,0.017418
2000-11-30,-0.15655,-0.010464,-0.157399,0.034149,-0.050784,-0.111369,0.004871,-0.095781,,-0.049442,-0.153722,0.088955,0.040083,0.042662,-0.166969,0.028133,0.048119,-0.047671,0.150138,-0.008381,0.030494
2000-12-29,-0.098485,0.016763,0.14867,0.0800935,0.025094,-0.201044,0.031298,-0.029559,,-0.090909,-0.210181,0.050625,-0.026946,0.166088,-0.244009,0.038082,0.047579,-0.13083,0.019114,-0.012074,0.026133
2001-01-31,0.453782,-0.1374,0.173188,-0.0404,0.096108,-0.021242,-0.013708,-0.040834,,0.317647,0.230769,-0.113575,-0.048205,0.0,0.407781,-0.018478,-0.079649,0.01788,0.069176,-0.032063,0.002511
2001-02-28,-0.156069,-0.037438,-0.061501,0.033667,-0.118814,-0.367279,0.036383,0.011309,,-0.106875,-0.2275,0.048534,-0.08569,0.095,-0.033777,-0.000886,-0.018653,-0.013444,-0.118134,-0.03161,0.018639
2001-03-30,0.209315,-0.015892,0.096096,-0.069339,-0.085401,-0.332454,0.024982,-0.096344,,-0.037237,-0.078775,-0.101305,-0.145012,-0.004151,-0.073093,-0.09,-0.112057,-0.064361,0.009583,-0.000617,-0.007316
2001-04-30,0.154961,0.016149,0.022831,0.0422285,0.092708,0.073834,0.099772,0.159341,,0.19713,0.174727,0.103007,0.022808,0.056059,0.238857,0.057387,-0.035144,-0.069992,0.024554,0.093827,-0.031123
2001-05-31,-0.21734,-0.009328,0.068036,0.004487499999999999,0.045575,0.134276,0.00145,0.009685,,-0.027792,-0.125526,0.008603,0.026196,0.025943,0.021107,-0.006928,0.069775,0.043636,0.000193,0.006659,0.003703
2001-06-29,0.165413,0.049506,0.013165,0.0112565,0.031024,-0.055036,-0.057782,-0.005102,,0.010733,0.082932,0.03146,-0.046835,-0.002529,0.055218,-0.066216,-0.006849,-0.069454,-0.055652,-0.015549,0.005339
2001-07-31,-0.191828,-0.020703,0.059803,-0.0023105,-0.049773,0.056044,0.009834,-0.10441,,-0.068938,0.019145,0.082,-0.008889,-0.103448,-0.093288,0.029214,0.119122,0.13046,0.145492,-0.043847,0.038935
2001-08-31,-0.012773,-0.060156,-0.033323,0.0049295,-0.084644,-0.150364,0.000109,-0.057931,,-0.048665,-0.061389,-0.022366,0.091256,0.041758,-0.138087,-0.067928,0.044072,-0.091495,-0.140429,-0.033046,0.0236
2001-09-28,-0.163881,-0.002558,-0.041301,0.0082155,-0.115721,-0.254133,-0.066116,-0.088336,,-0.082341,-0.268956,0.051034,-0.033696,0.031013,-0.103068,0.046724,-0.018341,0.151797,0.031634,-0.01868,0.004898
2001-10-31,0.132173,0.007692,0.010103,0.0137215,0.123951,0.389163,0.044838,-0.021237,,0.17826,0.194716,0.045307,0.021985,-0.030855,0.136408,0.044888,0.018821,-0.185776,0.038384,0.001269,0.05198
2001-11-30,0.212984,0.048346,0.040515,-0.0128875,0.0558,0.208038,-0.032072,0.057402,,0.07088,0.338247,0.008979,-0.015455,0.007906,0.104213,0.036277,0.049878,-0.019155,0.072957,-0.046134,-0.051658
2001-12-31,0.028169,-0.035898,0.035354,0.0811485,0.053862,-0.113992,0.054111,0.045714,,0.046457,-0.037048,0.014592,0.004046,-0.015688,0.031771,-0.079889,0.021559,0.047886,0.044787,0.050802,-0.014911
2002-01-31,0.128767,-0.066121,0.001271,-0.025501,-0.057845,0.093319,-0.064836,-0.073104,,-0.108052,0.114149,-0.026904,-0.07211,0.092912,-0.03834,0.045671,0.037028,-0.037369,0.042224,-0.006361,0.011488
