caldt,b20ret,b7ret,b1ret
2000-01-31,0.017036,-0.005052,0.002476
2000-02-29,0.030678,0.009505,0.005797
2000-03-31,0.034984,0.027027,0.005338
2000-04-28,-0.007828,-0.006717,0.003549
2000-05-31,-0.004246,0.005836,0.004305
2000-06-30,0.020999,0.019042,0.007794
2000-07-31,0.018508,0.008591,0.005483
2000-08-31,0.022423,0.015843,0.005976
2000-09-29,-0.013494,0.007017,0.005337
2000-10-31,0.017418,0.009339,0.004956
2000-11-30,0.030494,0.024855,0.006788
2000-12-29,0.026133,0.023028,0.009996
2001-01-31,0.002511,0.011923,0.012048
2001-02-28,0.018639,0.012849,0.004732
2001-03-30,-0.007316,0.006763,0.007367
2001-04-30,-0.031123,-0.015447,0.004721
2001-05-31,0.003703,0.003136,0.006094
2001-06-29,0.005339,0.001581,0.002773
2001-07-31,0.038935,0.028164,0.007754
2001-08-31,0.023600,0.014634,0.004845
2001-09-28,0.004898,0.025211,0.010444
2001-10-31,0.051980,0.028631,0.007903
2001-11-30,-0.051658,-0.029733,0.001236
2001-12-31,-0.014911,-0.012400,0.002073
2002-01-31,0.011488,0.005779,0.000687
2002-02-28,0.012538,0.012980,0.003139
2002-03-28,-0.040447,-0.029495,-0.002648
2002-04-30,0.040135,0.028622,0.007708
2002-05-31,0.001533,0.011315,0.002214
2002-06-28,0.018251,0.018485,0.005796
2002-07-31,0.030021,0.030141,0.005072
2002-08-30,0.045547,0.022089,0.000968
2002-09-30,0.041489,0.036019,0.004035
2002-10-31,-0.028103,-0.008435,0.002565
2002-11-29,-0.011966,-0.019251,-0.000347
2002-12-31,0.044021,0.034456,0.004480
2003-01-31,-0.004343,-0.007164,0.000443
2003-02-28,0.030871,0.021521,0.001683
2003-03-31,-0.011278,-0.002253,0.002141
2003-04-30,0.009585,0.002400,0.001039
2003-05-30,0.057641,0.033750,0.001078
2003-06-30,-0.014020,-0.004886,0.002162
2003-07-31,-0.093603,-0.046952,-0.000905
2003-08-29,0.009902,-0.000653,0.000532
2003-09-30,0.058097,0.040350,0.003814
2003-10-31,-0.029366,-0.018579,-0.000772
2003-11-28,0.003887,-0.000094,-0.000455
2003-12-31,0.016052,0.011373,0.003836
2004-01-30,0.015763,0.009444,0.001233
2004-02-27,0.023563,0.015920,0.001592
2004-03-31,0.013929,0.012258,0.001410
2004-04-30,-0.059584,-0.040496,-0.003310
2004-05-28,-0.004100,-0.004916,-0.000371
2004-06-30,0.013616,0.008733,0.000200
2004-07-30,0.014664,0.009590,0.001789
2004-08-31,0.039549,0.026443,0.003512
2004-09-30,0.008695,0.002040,-0.000269
2004-10-29,0.015813,0.008994,0.001553
2004-11-30,-0.022469,-0.018028,-0.002025
2004-12-31,0.024136,0.011803,0.001464
2005-01-31,0.028471,0.004691,0.000604
2005-02-28,-0.014668,-0.012305,-0.000387
2005-03-31,-0.004377,-0.003489,0.001544
2005-04-29,0.035333,0.020601,0.003691
2005-05-31,0.032170,0.020712,0.003251
2005-06-30,0.017606,0.002256,0.001802
2005-07-29,-0.031633,-0.020219,-0.000608
2005-08-31,0.032788,0.018484,0.004896
2005-09-30,-0.033298,-0.017388,-0.000060
2005-10-31,-0.019975,-0.011174,0.001098
2005-11-30,0.007972,0.006018,0.002993
2005-12-30,0.027379,0.010786,0.003666
2006-01-31,-0.011112,-0.004991,0.001937
2006-02-28,0.008721,-0.002072,0.002138
2006-03-31,-0.040187,-0.010402,0.002633
2006-04-28,-0.024514,-0.004494,0.003109
2006-05-31,-0.001525,-0.001838,0.002628
2006-06-30,0.010620,0.003175,0.002458
2006-07-31,0.021198,0.015436,0.005809
2006-08-31,0.028996,0.016606,0.005217
2006-09-29,0.017554,0.010171,0.004391
2006-10-31,0.008110,0.005760,0.003965
2006-11-30,0.020207,0.011619,0.004218
2006-12-29,-0.024170,-0.011550,0.002285
2007-01-31,-0.007534,-0.001775,0.003995
2007-02-28,0.028796,0.018779,0.005063
2007-03-30,-0.012110,0.001164,0.003904
2007-04-30,0.008095,0.005634,0.003403
2007-05-31,-0.020529,-0.013946,0.002538
2007-06-29,-0.008926,-0.001106,0.004246
2007-07-31,0.030381,0.021695,0.006321
2007-08-31,0.017484,0.022029,0.007002
2007-09-28,0.001447,0.002781,0.005447
2007-10-31,0.015780,0.009846,0.003567
2007-11-30,0.048778,0.039726,0.011388
2007-12-31,-0.006067,0.001302,0.001147
2008-01-31,0.025689,0.036982,0.013061
2008-02-29,0.000404,0.014976,0.005399
2008-03-31,0.012042,0.017594,0.002887
2008-04-30,-0.018873,-0.029068,-0.002938
2008-05-30,-0.029605,-0.018669,-0.001104
2008-06-30,0.023758,0.014134,0.001278
2008-07-31,-0.000827,0.009349,0.003177
2008-08-29,0.023764,0.012839,0.002366
2008-09-30,0.007784,0.003465,0.005113
2008-10-31,-0.036296,-0.007144,0.005218
2008-11-28,0.144461,0.081895,0.007170
2008-12-31,0.091421,0.036706,0.003890
