PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET
14593,2000-01-31,AAPL,APPLE COMPUTER INC,7,103.75000,0.009119
14593,2000-02-29,AAPL,APPLE COMPUTER INC,7,114.62500,0.104819
14593,2000-03-31,AAPL,APPLE COMPUTER INC,7,135.81250,0.184842
14593,2000-04-28,AAPL,APPLE COMPUTER INC,7,124.06250,-0.086516
14593,2000-05-31,AAPL,APPLE COMPUTER INC,7,84.00000,-0.322922
14593,2000-06-30,AAPL,APPLE COMPUTER INC,7,52.37500,0.247024
14593,2000-07-31,AAPL,APPLE COMPUTER INC,7,50.81250,-0.029833
14593,2000-08-31,AAPL,APPLE COMPUTER INC,7,60.93750,0.199262
14593,2000-09-29,AAPL,APPLE COMPUTER INC,7,25.75000,-0.577436
14593,2000-10-31,AAPL,APPLE COMPUTER INC,7,19.56250,-0.240291
14593,2000-11-30,AAPL,APPLE COMPUTER INC,7,16.50000,-0.156550
14593,2000-12-29,AAPL,APPLE COMPUTER INC,7,14.87500,-0.098485
14593,2001-01-31,AAPL,APPLE COMPUTER INC,7,21.62500,0.453782
14593,2001-02-28,AAPL,APPLE COMPUTER INC,7,18.25000,-0.156069
14593,2001-03-30,AAPL,APPLE COMPUTER INC,7,22.07000,0.209315
14593,2001-04-30,AAPL,APPLE COMPUTER INC,7,25.49000,0.154961
14593,2001-05-31,AAPL,APPLE COMPUTER INC,7,19.95000,-0.217340
14593,2001-06-29,AAPL,APPLE COMPUTER INC,7,23.25000,0.165413
14593,2001-07-31,AAPL,APPLE COMPUTER INC,7,18.79000,-0.191828
14593,2001-08-31,AAPL,APPLE COMPUTER INC,7,18.55000,-0.012773
14593,2001-09-28,AAPL,APPLE COMPUTER INC,7,15.51000,-0.163881
14593,2001-10-31,AAPL,APPLE COMPUTER INC,7,17.56000,0.132173
14593,2001-11-30,AAPL,APPLE COMPUTER INC,7,21.30000,0.212984
14593,2001-12-31,AAPL,APPLE COMPUTER INC,7,21.90000,0.028169
14593,2002-01-31,AAPL,APPLE COMPUTER INC,7,24.72000,0.128767
14593,2002-02-28,AAPL,APPLE COMPUTER INC,7,21.70000,-0.122168
14593,2002-03-28,AAPL,APPLE COMPUTER INC,7,23.67000,0.090783
14593,2002-04-30,AAPL,APPLE COMPUTER INC,7,24.27000,0.025349
14593,2002-05-31,AAPL,APPLE COMPUTER INC,7,23.30000,-0.039967
14593,2002-06-28,AAPL,APPLE COMPUTER INC,7,17.72000,-0.239485
14593,2002-07-31,AAPL,APPLE COMPUTER INC,7,15.26000,-0.138826
14593,2002-08-30,AAPL,APPLE COMPUTER INC,7,14.75000,-0.033421
14593,2002-09-30,AAPL,APPLE COMPUTER INC,7,14.50000,-0.016949
14593,2002-10-31,AAPL,APPLE COMPUTER INC,7,16.07000,0.108276
14593,2002-11-29,AAPL,APPLE COMPUTER INC,7,15.50000,-0.035470
14593,2002-12-31,AAPL,APPLE COMPUTER INC,7,14.33000,-0.075484
14593,2003-01-31,AAPL,APPLE COMPUTER INC,7,14.36000,0.002093
14593,2003-02-28,AAPL,APPLE COMPUTER INC,7,15.01000,0.045265
14593,2003-03-31,AAPL,APPLE COMPUTER INC,7,14.14000,-0.057961
14593,2003-04-30,AAPL,APPLE COMPUTER INC,7,14.22000,0.005658
14593,2003-05-30,AAPL,APPLE COMPUTER INC,7,17.95000,0.262307
14593,2003-06-30,AAPL,APPLE COMPUTER INC,7,19.06000,0.061838
14593,2003-07-31,AAPL,APPLE COMPUTER INC,7,21.08000,0.105981
14593,2003-08-29,AAPL,APPLE COMPUTER INC,7,22.61000,0.072581
14593,2003-09-30,AAPL,APPLE COMPUTER INC,7,20.72000,-0.083591
14593,2003-10-31,AAPL,APPLE COMPUTER INC,7,22.89000,0.104730
14593,2003-11-28,AAPL,APPLE COMPUTER INC,7,20.91000,-0.086501
14593,2003-12-31,AAPL,APPLE COMPUTER INC,7,21.37000,0.021999
14593,2004-01-30,AAPL,APPLE COMPUTER INC,7,22.56000,0.055685
14593,2004-02-27,AAPL,APPLE COMPUTER INC,7,23.92000,0.060284
14593,2004-03-31,AAPL,APPLE COMPUTER INC,7,27.04000,0.130435
14593,2004-04-30,AAPL,APPLE COMPUTER INC,7,25.78000,-0.046598
14593,2004-05-28,AAPL,APPLE COMPUTER INC,7,28.06000,0.088441
14593,2004-06-30,AAPL,APPLE COMPUTER INC,7,32.54000,0.159658
14593,2004-07-30,AAPL,APPLE COMPUTER INC,7,32.34000,-0.006146
14593,2004-08-31,AAPL,APPLE COMPUTER INC,7,34.49000,0.066481
14593,2004-09-30,AAPL,APPLE COMPUTER INC,7,38.75000,0.123514
14593,2004-10-29,AAPL,APPLE COMPUTER INC,7,52.40000,0.352258
14593,2004-11-30,AAPL,APPLE COMPUTER INC,7,67.05000,0.279580
14593,2004-12-31,AAPL,APPLE COMPUTER INC,7,64.40000,-0.039523
14593,2005-01-31,AAPL,APPLE COMPUTER INC,7,76.90000,0.194099
14593,2005-02-28,AAPL,APPLE COMPUTER INC,7,44.86000,0.166710
14593,2005-03-31,AAPL,APPLE COMPUTER INC,7,41.67000,-0.071110
14593,2005-04-29,AAPL,APPLE COMPUTER INC,7,36.06000,-0.134629
14593,2005-05-31,AAPL,APPLE COMPUTER INC,7,39.75930,0.102587
14593,2005-06-30,AAPL,APPLE COMPUTER INC,7,36.81000,-0.074179
14593,2005-07-29,AAPL,APPLE COMPUTER INC,7,42.65000,0.158653
14593,2005-08-31,AAPL,APPLE COMPUTER INC,7,46.89000,0.099414
14593,2005-09-30,AAPL,APPLE COMPUTER INC,7,53.61000,0.143314
14593,2005-10-31,AAPL,APPLE COMPUTER INC,7,57.59000,0.074240
14593,2005-11-30,AAPL,APPLE COMPUTER INC,7,67.82000,0.177635
14593,2005-12-30,AAPL,APPLE COMPUTER INC,7,71.89000,0.060012
14593,2006-01-31,AAPL,APPLE COMPUTER INC,7,75.51000,0.050355
14593,2006-02-28,AAPL,APPLE COMPUTER INC,7,68.49000,-0.092968
14593,2006-03-31,AAPL,APPLE COMPUTER INC,7,62.72000,-0.084246
14593,2006-04-28,AAPL,APPLE COMPUTER INC,7,70.39000,0.122290
14593,2006-05-31,AAPL,APPLE COMPUTER INC,7,59.77000,-0.150874
14593,2006-06-30,AAPL,APPLE COMPUTER INC,7,57.27000,-0.041827
14593,2006-07-31,AAPL,APPLE COMPUTER INC,7,67.96000,0.186660
14593,2006-08-31,AAPL,APPLE COMPUTER INC,7,67.85000,-0.001619
14593,2006-09-29,AAPL,APPLE COMPUTER INC,7,76.98000,0.134562
14593,2006-10-31,AAPL,APPLE COMPUTER INC,7,81.08000,0.053261
14593,2006-11-30,AAPL,APPLE COMPUTER INC,7,91.66000,0.130488
14593,2006-12-29,AAPL,APPLE COMPUTER INC,7,84.84000,-0.074405
14593,2007-01-31,AAPL,APPLE INC,7,85.73000,0.010490
14593,2007-02-28,AAPL,APPLE INC,7,84.61000,-0.013064
14593,2007-03-30,AAPL,APPLE INC,7,92.91000,0.098097
14593,2007-04-30,AAPL,APPLE INC,7,99.80000,0.074158
14593,2007-05-31,AAPL,APPLE INC,7,121.19100,0.214339
14593,2007-06-29,AAPL,APPLE INC,7,122.04000,0.007005
14593,2007-07-31,AAPL,APPLE INC,7,131.75999,0.079646
14593,2007-08-31,AAPL,APPLE INC,7,138.48000,0.051002
14593,2007-09-28,AAPL,APPLE INC,7,153.47000,0.108247
14593,2007-10-31,AAPL,APPLE INC,7,189.95000,0.237701
14593,2007-11-30,AAPL,APPLE INC,7,182.22000,-0.040695
14593,2007-12-31,AAPL,APPLE INC,7,198.08000,0.087038
14593,2008-01-31,AAPL,APPLE INC,7,135.36000,-0.316640
14593,2008-02-29,AAPL,APPLE INC,7,125.02000,-0.076389
14593,2008-03-31,AAPL,APPLE INC,7,143.50000,0.147816
14593,2008-04-30,AAPL,APPLE INC,7,173.95000,0.212195
14593,2008-05-30,AAPL,APPLE INC,7,188.75000,0.085082
14593,2008-06-30,AAPL,APPLE INC,7,167.44000,-0.112901
14593,2008-07-31,AAPL,APPLE INC,7,158.95000,-0.050705
14593,2008-08-29,AAPL,APPLE INC,7,169.53000,0.066562
14593,2008-09-30,AAPL,APPLE INC,7,113.66000,-0.329558
14593,2008-10-31,AAPL,APPLE INC,7,107.59000,-0.053405
14593,2008-11-28,AAPL,APPLE INC,7,92.67000,-0.138675
14593,2008-12-31,AAPL,APPLE INC,7,85.35000,-0.078990
66800,2000-01-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,104.37500,-0.034682
66800,2000-02-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,88.43750,-0.152695
66800,2000-03-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,109.50000,0.238728
66800,2000-04-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,109.68750,0.001712
66800,2000-05-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,112.56250,0.026667
66800,2000-06-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,117.50000,0.043865
66800,2000-07-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,87.68750,0.119415
66800,2000-08-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,89.12500,0.016815
66800,2000-09-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,95.68750,0.073633
66800,2000-10-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,98.00000,0.024167
66800,2000-11-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,96.93750,-0.010464
66800,2000-12-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,98.56250,0.016763
66800,2001-01-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,85.02000,-0.137400
66800,2001-02-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,81.80000,-0.037438
66800,2001-03-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,80.50000,-0.015892
66800,2001-04-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,81.80000,0.016149
66800,2001-05-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,81.00000,-0.009328
66800,2001-06-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,85.01000,0.049506
66800,2001-07-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,83.25000,-0.020703
66800,2001-08-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,78.20000,-0.060156
66800,2001-09-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,78.00000,-0.002558
66800,2001-10-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,78.60000,0.007692
66800,2001-11-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,82.40000,0.048346
66800,2001-12-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,79.40000,-0.035898
66800,2002-01-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,74.15000,-0.066121
66800,2002-02-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,73.97000,-0.001861
66800,2002-03-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,72.14000,-0.024740
66800,2002-04-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,69.12000,-0.041863
66800,2002-05-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,66.97000,-0.031105
66800,2002-06-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,68.23000,0.019442
66800,2002-07-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,63.92000,-0.063169
66800,2002-08-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,62.80000,-0.017522
66800,2002-09-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,54.70000,-0.128232
66800,2002-10-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,62.55000,0.143510
66800,2002-11-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,65.15000,0.041567
66800,2002-12-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,57.85000,-0.111328
66800,2003-01-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,54.12000,-0.064477
66800,2003-02-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,49.29000,-0.089246
66800,2003-03-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,49.45000,0.004200
66800,2003-04-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,57.95000,0.171891
66800,2003-05-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,57.88000,-0.001208
66800,2003-06-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,55.18000,-0.045836
66800,2003-07-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,64.20000,0.163465
66800,2003-08-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,59.57000,-0.072118
66800,2003-09-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,57.70000,-0.030300
66800,2003-10-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,60.83000,0.054246
66800,2003-11-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,57.95000,-0.047345
66800,2003-12-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,66.28000,0.144866
66800,2004-01-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,69.45000,0.047827
66800,2004-02-27,AIG,AMERICAN INTERNATIONAL GROUP INC,137,74.00000,0.065515
66800,2004-03-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,71.35000,-0.034932
66800,2004-04-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,71.65000,0.004205
66800,2004-05-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,73.30000,0.023029
66800,2004-06-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,71.28000,-0.026671
66800,2004-07-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,70.65000,-0.008838
66800,2004-08-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,71.24000,0.008351
66800,2004-09-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,67.99000,-0.044568
66800,2004-10-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,60.71000,-0.107075
66800,2004-11-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,63.35000,0.043485
66800,2004-12-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,65.67000,0.037806
66800,2005-01-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,66.29000,0.009441
66800,2005-02-28,AIG,AMERICAN INTERNATIONAL GROUP INC,137,66.80000,0.007694
66800,2005-03-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,55.41000,-0.168638
66800,2005-04-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,50.85000,-0.082296
66800,2005-05-31,AIG,AMERICAN INTERNATIONAL GROUP INC,137,55.55000,0.092429
66800,2005-06-30,AIG,AMERICAN INTERNATIONAL GROUP INC,137,58.10000,0.048155
66800,2005-07-29,AIG,AMERICAN INTERNATIONAL GROUP INC,137,60.20000,0.036145
